"","Phylum","Class","Order","Family","Species","C.value","GS_Species","Bp"
"1478","Arthropoda","Insecta","Diptera","Sepsidae","Allosepsis sp. 1",0.49,"Allosepsis sp. 1",479220000
"1479","Arthropoda","Insecta","Diptera","Sepsidae","Allosepsis sp. 2",0.52,"Allosepsis sp. 2",508560000
"1480","Arthropoda","Insecta","Diptera","Sepsidae","Allosepsis sp. 3",0.49,"Allosepsis sp. 3",479220000
"1481","Arthropoda","Insecta","Diptera","Sepsidae","Allosepsis sp. 4",0.33,"Allosepsis sp. 4",322740000
"1482","Arthropoda","Insecta","Diptera","Sepsidae","Allosepsis sp. 5",0.43,"Allosepsis sp. 5",420540000
"1483","Arthropoda","Insecta","Diptera","Sepsidae","Allosepsis sp. 6",0.51,"Allosepsis sp. 6",498780000
"1484","Arthropoda","Insecta","Diptera","Sepsidae","Archisepsis armata",0.34,"Archisepsis armata",332520000
"1485","Arthropoda","Insecta","Diptera","Sepsidae","Archisepsis escalcarata",0.33,"Archisepsis escalcarata",322740000
"1486","Arthropoda","Insecta","Diptera","Sepsidae","Decachaetophora aeneipes",0.28,"Decachaetophora aeneipes",273840000
"1487","Arthropoda","Insecta","Diptera","Sepsidae","Dicranosepsis sp. 1",0.24,"Dicranosepsis sp. 1",234720000
"1488","Arthropoda","Insecta","Diptera","Sepsidae","Dicranosepsis sp. 2",0.27,"Dicranosepsis sp. 2",264060000
"1489","Arthropoda","Insecta","Diptera","Sepsidae","Meropliosepsis sexsetosa",0.63,"Meropliosepsis sexsetosa",616140000
"1490","Arthropoda","Insecta","Diptera","Sepsidae","Meroplius alberquerquei",0.16,"Meroplius alberquerquei",156480000
"1491","Arthropoda","Insecta","Diptera","Sepsidae","Meroplius sauteri",0.18,"Meroplius sauteri",176040000
"1492","Arthropoda","Insecta","Diptera","Sepsidae","Microsepsis armillata",0.19,"Microsepsis armillata",185820000
"1493","Arthropoda","Insecta","Diptera","Sepsidae","Microsepsis furcata",0.19,"Microsepsis furcata",185820000
"1494","Arthropoda","Insecta","Diptera","Sepsidae","Microsepsis mitis",0.19,"Microsepsis mitis",185820000
"1495","Arthropoda","Insecta","Diptera","Sepsidae","Nemopoda nitidula",0.2,"Nemopoda nitidula",195600000
"1496","Arthropoda","Insecta","Diptera","Sepsidae","Orygma luctuosum",0.46,"Orygma luctuosum",449880000
"1497","Arthropoda","Insecta","Diptera","Sepsidae","Paratoxopoda similis",0.22,"Paratoxopoda similis",215160000
"1498","Arthropoda","Insecta","Diptera","Sepsidae","Perochaeta dikowi",0.3,"Perochaeta dikowi",293400000
"1499","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis biflexuosa",0.27,"Sepsis biflexuosa",264060000
"1500","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis cynipsea",0.21,"Sepsis cynipsea",205380000
"1501","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis dissimilis",0.22,"Sepsis dissimilis",215160000
"1502","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis flavimana",0.27,"Sepsis flavimana",264060000
"1503","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis fulgens",0.26,"Sepsis fulgens",254280000
"1504","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis lateralis",0.29,"Sepsis lateralis",283620000
"1505","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis latiforceps",0.27,"Sepsis latiforceps",264060000
"1506","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis neocynipsea",0.22,"Sepsis neocynipsea",215160000
"1507","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis nitens",0.32,"Sepsis nitens",312960000
"1508","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis niveipennis",0.18,"Sepsis niveipennis",176040000
"1509","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis orthocnemis",0.25,"Sepsis orthocnemis",244500000
"1510","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis punctum",0.27,"Sepsis punctum",264060000
"1511","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis secunda",0.26,"Sepsis secunda",254280000
"1512","Arthropoda","Insecta","Diptera","Sepsidae","Sepsis thoracica",0.24,"Sepsis thoracica",234720000
"1513","Arthropoda","Insecta","Diptera","Sepsidae","Themira biloba",0.2,"Themira biloba",195600000
"1514","Arthropoda","Insecta","Diptera","Sepsidae","Themira lucida",0.15,"Themira lucida",146700000
"1515","Arthropoda","Insecta","Diptera","Sepsidae","Themira superba",0.19,"Themira superba",185820000
"1516","Arthropoda","Insecta","Diptera","Sepsidae","Thermia putris",0.17,"Thermia putris",166260000
"1517","Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium multidentatum",0.19,"Prosimulium multidentatum",185820000
"1518","Arthropoda","Insecta","Diptera","Stratiomyidae","Hermetia illucens",1.18,"Hermetia illucens",1154040000
"1519","Arthropoda","Insecta","Diptera","Syrphidae","Episyrphus balteatus",0.54,"Episyrphus balteatus",528120000
"1520","Arthropoda","Insecta","Diptera","Tephritidae","Rhagoletis pomonella",0.97,"Rhagoletis pomonella",948660000
